제목,내용,조회수,첨부파일명,첨부파일 링크,출처
공공 사물인터넷(IoT)망 연계 추진 '전국 단위 서비스 길 닦는다',"공공기관과 지방자치단체 사물인터넷80(IoT) 서비스가 연계, 통합 관리된다.특정 기관·지자체에서 제한적으로 제공한 IoT 서비스 데이터를 공유하고 연동, 전국 단위 공공 IoT 서비스도 가능할 것으로 기대된다. 행정안전부와 한국정보화진흥원(NIA)은 정부, 공공기관, 지자체 IoT 망을 연계하고 기관별 IoT 서비스 현황을 통합 모니터링·제어할 수 있는 '정부사물인터넷망 공통기반 구축 사업'을 추진한다. 연말까지 로라(LoRa), 협대역사물인터넷(NB-IoT500) 등 서로 다른 IoT 통신 방식과 플랫폼을 채택한 기관·지자체 IoT 통신망을 상호 연계하는 표준 통신 인프라를 구축한다.   지역에 제한받지 않고 다른 기관이나 지자체 IoT 서비스와 연동, 데이터 공유 등 대민 서비스 효율을 높이는 게 목적이다.",46,,,전자신문
5G 융합서비스 개발 시작···시장 확대·국민 편익 제고 기대,"자율주행차와 스마트시티 등 5세대(5G) 이동통신 기반 5대 융합서비스 개발이 시작된다. 국민 편익 제고와 5G 생태계 확대가 기대된다. 과학기술정보통신부와 기가코리아29사업단은 '2018년도 범부처 기가코리아 사업' 우선협상대상자를 선정, 이달 계약을 체결하고 서비스 개발에 착수한다.자율주행과 재난안전 분야는 KT, 스마트팩토리·물류서비스는 SK텔레콤, 스마트미디어는 SK브로드밴드, 스마트시티는 한국전자통신연구원(ETRI)이 담당한다. 컨소시엄에는 중소기업과 지방자치단체도 포함됐다.",29,,,전자신문
5G 주파수 3.5㎓ 대역 총량 제한 '100㎒'...이통 3사 희비 교차,5세대(5G) 이동통신 전국망 용도로 사용될 3.5㎓ 대역 주파수 경매 총량 제한이 100㎒ 폭으로 확정됐다. 특정 이통 서비스 사업자가 확보 가능한 주파수 최대치(총량)가 100㎒ 폭으로 확정되자 SK텔레콤과 KT·LG유플러스 간 희비가 극명하게 갈렸다. 보조망 용도인 28㎓ 대역 최대치는 1000㎒ 폭으로 제한됐다. 과학기술정보통신부는 4일 이 같은 내용의 세계 최초 5G 상용화를 위한 주파수 할당 계획을 확정·발표했다.,28,,,전자신문
소방 무전 100% 디지털화...상호 호환 확보해야,"지난해 연말 제천 화재참사를 계기로 소방 무전기 디지털화가 추진되고 있지만 무전기간 상호호환 대책 부재로 효과가 반감될 우려가 적지 않다. 공통 표준을 개발, 전국 어디서나 제품과 상관없이 상호호환이 가능하도록 해야 한다는 목소리가 커지고 있다. 소방청은 시·도 소방본부가 사용하는 노후 아날로그 무전기 디지털화를 추진 중이다. 2020년까지 약 900억원을 투입, 49%인 디지털화 비율을 100%로 높일 계획이다. 19개 소방본부별로 교체 사업을 진행하고 있다.",25,,,전자신문
"[국제]미국, 28㎓ 대역 850㎒ 폭에 경매가 1356억원","미국이 5세대(5G) 이동통신 주파수 28㎓ 대역 경매가를 1356억원에 책정했다. 28㎓는 20Gbps에 이르는 5G 속도 구현을 위한 대역으로 우리나라를 비롯한 미국, 일본, 캐나다, 싱가포르 등이 국제 표준으로 제시하고 있다. 미국 연방통신위원회(FCC)는 지난달 5G와 사물인터넷80(IoT) 용도 24㎓, 28㎓ 경매계획(안)을 발표했고 월례회의 의제로 상정했다. 계획(안)에 따르면 FCC는 24㎓ 대역 700㎒ 폭, 28㎓ 대역 850㎒ 폭 등 총 1550㎒ 폭을 지역단위(카운티) 5986개 면허로 공급한다. 넓은 국토를 감안, 전국망이 아닌 지역 기준 공급을 선택했다.",34,,,전자신문
"[국제]화웨이, 5G 제품으로 CE 인증 획득",화웨이가 5세대(5G) 이동통신 제품으로 유럽통합규격인증(CE-TEC)을 통과했다. 통신 장비 업체 가운데 최초다. 화웨이는 5G NR(New Radio) 제품이 유럽연합(EU) 안전 규격 공식 인증기관 '티유브이슈드'로부터 CE-TEC 인증을 획득했다고 밝혔다.,35,,,전자신문
공공안전통신망 시장 열린다...올해 1조4000억원 사업 발주,"재난안전통신망(PS-LTE48)과 철도통합망(LTE-R502), 해상망(LTE-M) 등 공공안전통신망 시장이 열린다. 올해 1조4000억원 규모 사업 발주가 예상돼 통신사업자는 물론 중소기업 기대감이 커지고 있다. 공공안전통신망포럼에 따르면 재난·철도·해상 관계기관이 공공안전통신망 사업 추진 계획을 확정했다. 재난망과 해상망은 올해 본 사업을, 철도망은 규모를 확대한다.",37,,,전자신문
"5G 주파수 경매, 2680MHz 폭에 최저경쟁가격 3조2760억원","5세대(5G) 이동통신을 위한 첫 주파수 경매에서 3.5㎓ 대역 경매 대상 폭이 280㎒로 최종 확정됐다. 28㎓ 대역은 2400㎒로, 총 2680㎒ 폭이다. 이는 주파수 경매 사상 최대치다.최저경쟁가격도 3.5㎓ 대역이 2조6544억원, 28㎓ 대역이 6216억원으로 총 3조2760억원이다. 이 또한 역대 최고가다. 경매 방식은 무기명 블록 경매 일종인 클락 경매다.과학기술정보통신부는 19일 '이동통신 주파수 할당226계획(안)' 토론회를 개최, 이 같은 내용의 '2018년 5G 주파수 경매방안(안)'을 공개했다.   이에 앞서 본지가 보도한 것처럼 3.5㎓ 대역에서 20㎒ 폭 할당을 유보하고 280㎒ 폭만 공급한다.〈본지 4월 10일자 1·8면 참조〉 이통 서비스 사업자 간 주파수 차등 할당이 불가능하게 됐다.",31,,,전자신문
이통3사 1분기 수익성 악화 ···장기화 우려,"이동통신 서비스 사업자 1분기 수익성이 악화된 것으로 예상된다. 정부의 요금인하 압박이 지속돼 수익성 악화가 장기화될 가능성도 배제할 수 없게 됐다.에프엔가이드에 따르면 SK텔레콤·KT·LG유플러스 이통3사 1분기 예상 매출은 13조571억원으로 지난해에 비해 2.2% 증가했다. 하지만 영업이익은 1조122억원으로 1.3% 감소했다.SK텔레콤은 1분기 예상 매출은 4조3272억원으로 지난해에 비해 2.2% 증가했지만, 영업이익은 4053억원으로 1.3% 감소했다.",44,,,전자신문
[단독]5G 주파수 3.5㎓ 대역 280㎒ 폭만 경매···주파수 총량 제한 쟁점,5세대(5G) 이동통신 주파수 3.5㎓ 대역 경매 대상 폭이 300㎒가 아닌 280㎒로 사실상 확정됐다.   이통 서비스 사업자별로 100㎒ 폭씩 확보하는 균등 할당이 원천부터 불가능하게 됐다. 이에 따라 특정 이통사의 주파수 독점을 차단하기 위한 주파수 총량 제한이 쟁점화 될 것으로 전망된다. 과학기술정보통신부는 5G 주파수로 지정한 3.5㎓ 대역 가운데 300㎒ 폭이 아닌 280㎒ 폭만 경매 대상으로 확정하고 이통 3사에 공문을 발송한 것으로 확인됐다.   과기정통부는 이에 대한 의견을 오는 19일 공청회에서 제기하면 수렴하겠다고 덧붙였다.,48,,,전자신문
"과기정통부, '주파수 등급제' 올해 시범 실시···회수·재배치로 효율성 ↑","정부가 이용 실적이 낮은 주파수를 회수·재배치하는 주파수 등급제 시범 사업을 올해 시작한다. 한정 자원인 주파수의 효율성을 극대화하기 위한 조치다.과학기술정보통신부는 '주파수 효율화 등급제'(가칭) 실시를 위한 평가 지표 개발을 완료, 연내에 시범 사업으로 착수한다. 일부 주파수 대역에 적용, 지표를 보완하고 시범 사업 추가 실시 또는 본사업 착수 여부를 결정한다. 과기정통부는 평가 지표에 주파수 이용률, 특정 주파수에 대한 수요와 회수 용이성, 사회 파급력, 국내외 이용 동향, 기술 발전 추이 등을 반영했다. 평가 이후 단계별 등급을 부여, 주파수 회수 또는 재배치, 공동 사용 등을 결정한다.",45,,,전자신문
스몰셀 “5G 망구축 의무에 포함” 요구,스몰셀(소형기지국) 업계가 5세대(5G) 이동통신 주파수 할당226공고에 담길 망 구축 의무에 스몰셀 포함을 요구했다. 중소기업 적합업종 지정 등 지원 필요성도 제기했다.스몰셀은 커버리지가 수㎞인 저출력 소형 기지국이다. 5G 시대 커버리지 확보를 위해 LTE48보다 많은 스몰셀이 구축될 전망이다. 5G 포럼이 주최한 '5G 스몰셀 장비기업 간담회'에서 나지현 5G포럼 스몰셀워킹그룹 위원장(ETRI 실장)은 국내 스몰셀 업계가 5G 레퍼런스를 확보할 수 있도록 정부 지원이 절실하다고 밝혔다. 나 위원장은 “5G 주파수 경매에서 스몰셀 구축을 의무화하면 중소 스몰셀 업계에 기회가 될 것”이라며 “스몰셀의 중소기업 적합품종 지정도 산업 활성화 방안 중 하나”라고 말했다.,51,,,전자신문
5G 주파수 3.5㎓ 경매 자율경쟁에 무게,5세대(5G) 이동통신 주파수 경매를 앞두고 이동통신 서비스 사업자 간 신경전이 고조되고 있다.   정부가 동시오름과 무기명블록경매를 동시 검토하는 것으로 알려지면서 시장 자율 경쟁을 주장하는 진영과 동등한 출발선상에서 5G 서비스 경쟁을 주장하는 진영 간 대립이 첨예하다.상대적으로 주파수 폭이 넓은 28㎓ 대역보다 전국망으로 활용할 3.5㎓에서 다양한 논리전이 전개되고 있다.   정부는 경매 제도 취지를 살리되 공정경쟁을 유도하는 방안을 마련해야 하는 과제에 직면했다.,43,,,전자신문
"과기정통부, 5G 시대 통신정책 새로 짠다","과학기술정보통신부가 5세대(5G) 통신 규제 체계 준비에 들어갔다. 5G에 적합한 통신 서비스 분류, 요금, 번호체계 등 규제 정책 전반에 걸친 변화가 예상된다.   과기정통부는 최근 △5G 시대를 대비한 통신 규제 정책 프레임워크 △5G 네트워크 시대의 통신서비스 요금 체계 △5G 시대를 대비한 전기통신번호 이용 체계 개선 방안 △5G 시대에 부합하는 설비제공·공동구축 활성화 방안 등 정책 연구 과제를 발주했다.과기정통부가 5G 주파수 이외에 종합 진흥·규제를 망라한 연구 과제를 제안한 건 처음이다.   과기정통부는 5G가 통신 전반의 질 변화를 가져올 것으로 판단, 상용화에 대비한 새로운 중장기 통신 정책 로드맵을 개발할 계획이다.   그동안 개인 통신서비스에 초점을 맞춰 온 통신 규제 체계를 자율주행자동차, 공장자동화, 스마트시티 등 다양한 융합 산업에 적용하도록 변화를 모색한다.",28,,,전자신문
사물인터넷(IoT) 주파수 추가 공급···규제도 개선,"사물인터넷(IoT) 주파수가 추가된다. 과학기술정보통신부는 스마트 시티와 공장 등에서 활용될 IoT, 초정밀 위치측정(UWB)용 주파수 공급과 기술기준 규제 완화를 위한 법령 개정(안)을 28일 행정예고했다.  스마트 시티와 공장에서 전파간섭 없이 안정적 이용이 가능한 1㎓ 이하 대역을 저전력·저용량 IoT용 주파수로 확보·공급한다.   1㎓ 이하 대역에서 '무선 호출' 또는 '공중 무선데이터통신서비스'용으로 분배됐지만 미이용 중인 주파수 11.7㎒폭의 용도를 변경, 연말까지 공급 계획을 수립한다.   1㎓ 이하 대역은 전파 회절성이 좋아 이동통신과 방송용 등으로 널리 활용된다.",39,,,전자신문
[이슈분석]6월 '錢의 전쟁' 포문…5G 주파수 경매 10대 이슈,'2018 주파수 경매'가 두 달여 앞으로 다가왔다. 주파수는 이동통신 서비스 근간이다. 좋은 품질 주파수를 많이 확보할수록 이동통신 서비스 경쟁력이 높아진다.   한번 확보하면 장기간 이용하는 데다 조 단위 자금이 투입되는 만큼 신중한 결정이 요구된다. 주파수 경매를 한 해 농사가 아닌 10년 이상을 내다보는 농사에 비유하는 것도 이 때문이다.,32,,,전자신문
"SK텔레콤, 서울시 지하철 LTE-R 최초 구축","서울시 지하철에 처음으로 롱텀에볼루션(LTE48) 기반 철도 통신망(LTE-R502)이 구축된다.SK텔레콤은 26일 서울특별시와 하남선(서울 지하철 5호선 연장, 상일동역~하남시 창우역) LTE-R 사업 계약을 체결했다. SK텔레콤은 2020년 12월 말까지 하남선 7.725km 구간에 LTE-R를 구축한다. LTE-R는 350Km 이상 속도로 달리는 기차에서 영상통화162를 비롯한 데이터통신이 가능하다.SK텔레콤은 재난 상황이 발생하면 경찰서·소방서 등에 즉시 알리고 관제사·기관사·역무원· 유지보수 담당자가 그룹 통화 할 수 있는 시스템을 구축할 계획이다.",36,,,전자신문
28GHz 대역 주파수도 5G용도 커버리지 충분,5세대(5G) 이동통신용 28㎓ 대역의 주파수 커버리지가 대도시 실외 기준 롱텀에벌루션(LTE48)에 뒤처지지 않을 만큼 충분한 것으로 확인됐다. 퀄컴의 세계 대도시를 대상으로 실시한 네트워크 커버리지 시뮬레이션 연구 결과에 따르면 5G 커버리지가 LTE 커버리지의 최저 49%에서 최고 81%에 이르렀다. 5G 커버리지가 LTE 대비 퍼센트(%) 단위로 제시된 건 처음이다. 서울 강남구 A 도심 지역은 5G 커버리지가 LTE의 81%를 기록했다.,32,,,전자신문
"""5G 초민감서비스, 망 중립성 완화 없으면 불가능""",5세대(5G) 이동통신 시대에 맞는 망 중립성50 요구가 쏟아졌다. 기존 망 중립성을 완화하지 않으면 자율주행차 등 초민감서비스가 불가능할 것이라는 경고가 제기됐다.   서비스별 트래픽 차등 전송을 허용해야 한다는 구체 개정 방안도 제시됐다. 21일 '5G 망 중립성 원칙 개정' 토론회에서 변재일 의원(더불어민주당)은 “5G 신서비스 창출을 위해서는 기존 '트래픽 차별금지' 원칙을 문자 그대로 적용하는 게 바람직한지 의문”이라면서 “5G 수요 창출을 위해서는 망 중립성 원칙 개정을 위한 심도 있는 논의가 필요하다”고 역설했다.,26,,,전자신문
